component_name;replacement_name;comment;sourec_url
Microsoft.Extensions.DependencyInjection;ASP.NET Core;;
Microsoft.Extensions.Diagnostics.HealthChecks.Abstractions;ASP.NET Core;;
Microsoft.Extensions.Diagnostics.HealthChecks;ASP.NET Core;;
Microsoft.Extensions.FileProviders.Abstractions;ASP.NET Core;;
Microsoft.Extensions.FileProviders.Composite;ASP.NET Core;;
Microsoft.Extensions.FileProviders.Embedded;ASP.NET Core;;
Microsoft.Extensions.FileProviders.Embedded.Manifest.Task;ASP.NET Core;;
Microsoft.Extensions.FileProviders.Physical;ASP.NET Core;;
Microsoft.Extensions.FileSystemGlobbing;ASP.NET Core;;
Microsoft.Extensions.Hosting.Abstractions;ASP.NET Core;;
Microsoft.Extensions.Hosting;ASP.NET Core;;
Microsoft.Extensions.Http;ASP.NET Core;;
Microsoft.Extensions.Http.Polly;ASP.NET Core;;
Microsoft.Extensions.Identity.Core;ASP.NET Core;;
Microsoft.Extensions.Identity.Stores;ASP.NET Core;;
Microsoft.Extensions.Localization.Abstractions;ASP.NET Core;;
Microsoft.Extensions.Localization;ASP.NET Core;;
Microsoft.Extensions.Logging.Abstractions;ASP.NET Core;;
Microsoft.Extensions.Logging.AzureAppServices;ASP.NET Core;;
Microsoft.Extensions.Logging.Configuration;ASP.NET Core;;
Microsoft.Extensions.Logging.Console;ASP.NET Core;;
Microsoft.Extensions.Logging.Debug;ASP.NET Core;;
Microsoft.Extensions.Logging;ASP.NET Core;;
Microsoft.Extensions.Logging.EventLog;ASP.NET Core;;
Microsoft.Extensions.Logging.EventSource;ASP.NET Core;;
Microsoft.Extensions.Logging.TraceSource;ASP.NET Core;;
Microsoft.Extensions.ObjectPool;ASP.NET Core;;
Microsoft.Extensions.Options.ConfigurationExtensions;ASP.NET Core;;
Microsoft.Extensions.Options.DataAnnotations;ASP.NET Core;;
Microsoft.Extensions.Options;ASP.NET Core;;
Microsoft.Extensions.Primitives;ASP.NET Core;;
Microsoft.Extensions.WebEncoders;ASP.NET Core;;
Microsoft.JSInterop;ASP.NET Core;;
Microsoft.Net.Http.Headers;ASP.NET Core;;
Microsoft.Win32.SystemEvents;ASP.NET Core;;
System.Diagnostics.EventLog;ASP.NET Core;;
System.Drawing.Common;ASP.NET Core;;
System.IO.Pipelines;ASP.NET Core;;
System.Security.Cryptography.Pkcs;ASP.NET Core;;
System.Security.Cryptography.Xml;ASP.NET Core;;
System.Security.Permissions;ASP.NET Core;;
System.Windows.Extensions;ASP.NET Core;;

Microsoft.CSharp;.NET Core;part of .Net Core 2.x, 3.x;
Microsoft.VisualBasic.Core;.NET Core;part of .Net Core 2.x, 3.x;
Microsoft.VisualBasic;.NET Core;part of .Net Core 2.x, 3.x;
Microsoft.Win32.Primitives;.NET Core;part of .Net Core 2.x, 3.x;
Microsoft.Win32.Registry;.NET Core;part of .Net Core 2.x, 3.x;
System.AppContext;.NET Core;part of .Net Core 2.x, 3.x;
System.Buffers;.NET Core;part of .Net Core 2.x, 3.x;
System.Collections.Concurrent;.NET Core;part of .Net Core 2.x, 3.x;
System.Collections;.NET Core;part of .Net Core 2.x, 3.x;
System.Collections.Immutable;.NET Core;part of .Net Core 2.x, 3.x;
System.Collections.NonGeneric;.NET Core;part of .Net Core 2.x, 3.x;
System.Collections.Specialized;.NET Core;part of .Net Core 2.x, 3.x;
System.ComponentModel.Annotations;.NET Core;part of .Net Core 2.x, 3.x;
System.ComponentModel.DataAnnotations;.NET Core;part of .Net Core 2.x, 3.x;
System.ComponentModel;.NET Core;part of .Net Core 2.x, 3.x;
System.ComponentModel.EventBasedAsync;.NET Core;part of .Net Core 2.x, 3.x;
System.ComponentModel.Primitives;.NET Core;part of .Net Core 2.x, 3.x;
System.ComponentModel.TypeConverter;.NET Core;part of .Net Core 2.x, 3.x;
System.Configuration;.NET Core;part of .Net Core 2.x, 3.x;
System.Console;.NET Core;part of .Net Core 2.x, 3.x;
System.Core;.NET Core;part of .Net Core 2.x, 3.x;
System.Data.Common;.NET Core;part of .Net Core 2.x, 3.x;
System.Data.DataSetExtensions;.NET Core;part of .Net Core 2.x, 3.x;
System.Data;.NET Core;part of .Net Core 2.x, 3.x;
System.Diagnostics.Contracts;.NET Core;part of .Net Core 2.x, 3.x;
